"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 18 19:34:57 UTC 2021","Thu Feb 18 19:34:58 UTC 2021","131","","Cookies","","Cookies","cy.setCookie() - set a browser cookie","cy.setCookie() - set a browser cookie",""
"passed","Thu Feb 18 19:34:50 UTC 2021","Thu Feb 18 19:34:51 UTC 2021","163","","Connectors","","Connectors",".its() - get properties on the current subject",".its() - get properties on the current subject",""
"passed","Thu Feb 18 19:34:58 UTC 2021","Thu Feb 18 19:34:58 UTC 2021","225","","Cookies","","Cookies","cy.clearCookie() - clear a browser cookie","cy.clearCookie() - clear a browser cookie",""
"passed","Thu Feb 18 19:34:18 UTC 2021","Thu Feb 18 19:34:19 UTC 2021","613","","Actions","","Actions",".clear() - clears an input or textarea element",".clear() - clears an input or textarea element",""
"passed","Thu Feb 18 19:34:40 UTC 2021","Thu Feb 18 19:34:42 UTC 2021","1596","","Assertions Implicit Assertions","","Assertions Implicit Assertions",".should() - make an assertion about the current subject",".should() - make an assertion about the current subject",""
"passed","Thu Feb 18 19:34:42 UTC 2021","Thu Feb 18 19:34:42 UTC 2021","138","","Assertions Explicit Assertions","","Assertions Explicit Assertions","pass your own callback function to should()","pass your own callback function to should()",""
"passed","Thu Feb 18 19:34:23 UTC 2021","Thu Feb 18 19:34:24 UTC 2021","925","","Actions","","Actions",".uncheck() - uncheck a checkbox element",".uncheck() - uncheck a checkbox element",""
"passed","Thu Feb 18 19:34:25 UTC 2021","Thu Feb 18 19:34:27 UTC 2021","2152","","Actions","","Actions","cy.scrollTo() - scroll the window or element to a position","cy.scrollTo() - scroll the window or element to a position",""
"passed","Thu Feb 18 19:34:57 UTC 2021","Thu Feb 18 19:34:57 UTC 2021","236","","Cookies","","Cookies","cy.getCookies() - get browser cookies","cy.getCookies() - get browser cookies",""
"passed","Thu Feb 18 19:34:51 UTC 2021","Thu Feb 18 19:34:51 UTC 2021","147","","Connectors","","Connectors",".invoke() - invoke a function on the current subject",".invoke() - invoke a function on the current subject",""
"passed","Thu Feb 18 19:34:56 UTC 2021","Thu Feb 18 19:34:57 UTC 2021","1534","","Cookies","","Cookies","cy.getCookie() - get a browser cookie","cy.getCookie() - get a browser cookie",""
"passed","Thu Feb 18 19:34:12 UTC 2021","Thu Feb 18 19:34:18 UTC 2021","5753","","Actions","","Actions",".type() - type into a DOM element",".type() - type into a DOM element",""
"passed","Thu Feb 18 19:34:25 UTC 2021","Thu Feb 18 19:34:25 UTC 2021","186","","Actions","","Actions",".trigger() - trigger an event on a DOM element",".trigger() - trigger an event on a DOM element",""
"passed","Thu Feb 18 19:34:42 UTC 2021","Thu Feb 18 19:34:42 UTC 2021","144","","Assertions Implicit Assertions","","Assertions Implicit Assertions",".and() - chain multiple assertions together",".and() - chain multiple assertions together",""
"passed","Thu Feb 18 19:34:51 UTC 2021","Thu Feb 18 19:34:51 UTC 2021","200","","Connectors .then()","","Connectors .then()","invokes a callback function with the current subject","invokes a callback function with the current subject",""
"passed","Thu Feb 18 19:34:42 UTC 2021","Thu Feb 18 19:34:42 UTC 2021","126","","Assertions Explicit Assertions","","Assertions Explicit Assertions","expect - make an assertion about a specified subject","expect - make an assertion about a specified subject",""
"passed","Thu Feb 18 19:34:52 UTC 2021","Thu Feb 18 19:34:52 UTC 2021","231","","Connectors .then()","","Connectors .then()","yields the value yielded by the last Cypress command inside","yields the value yielded by the last Cypress command inside",""
"passed","Thu Feb 18 19:34:51 UTC 2021","Thu Feb 18 19:34:51 UTC 2021","113","","Connectors","","Connectors",".spread() - spread an array as individual args to callback function",".spread() - spread an array as individual args to callback function",""
"passed","Thu Feb 18 19:34:24 UTC 2021","Thu Feb 18 19:34:25 UTC 2021","962","","Actions","","Actions",".select() - select an option in a <select> element",".select() - select an option in a <select> element",""
"passed","Thu Feb 18 19:34:18 UTC 2021","Thu Feb 18 19:34:18 UTC 2021","511","","Actions","","Actions",".blur() - blur off a DOM element",".blur() - blur off a DOM element",""
"passed","Thu Feb 18 19:34:22 UTC 2021","Thu Feb 18 19:34:22 UTC 2021","245","","Actions","","Actions",".rightclick() - right click on a DOM element",".rightclick() - right click on a DOM element",""
"passed","Thu Feb 18 19:34:51 UTC 2021","Thu Feb 18 19:34:51 UTC 2021","163","","Connectors .then()","","Connectors .then()","yields the original subject without return","yields the original subject without return",""
"passed","Thu Feb 18 19:34:43 UTC 2021","Thu Feb 18 19:34:43 UTC 2021","204","","Assertions Explicit Assertions","","Assertions Explicit Assertions","assert - assert shape of an object","assert - assert shape of an object",""
"passed","Thu Feb 18 19:34:49 UTC 2021","Thu Feb 18 19:34:50 UTC 2021","1441","","Connectors","","Connectors",".each() - iterate over an array of elements",".each() - iterate over an array of elements",""
"passed","Thu Feb 18 19:34:43 UTC 2021","Thu Feb 18 19:34:45 UTC 2021","1611","","Assertions Explicit Assertions","","Assertions Explicit Assertions","retries the should callback until assertions pass","retries the should callback until assertions pass",""
